scheme,resolution_deg,task,model,fidelity_regions,median_absolute_gain_drift,max_absolute_gain_drift,median_relative_gain_drift,cost_regions,total_wall_s,total_compute_s,total_processed_points,total_point_hours,max_peak_rss_mb,resolution_cached_regions,relationship,countries,correlation,era,era_label,source_summary
uniform,0.25,classification,LogReg,19,0.0,0.0,0.0,19,36.93988116597757,28.741231416061055,13172,461863008,689.84375,19,all_europe,10,0.8002125223785347,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
uniform,0.25,classification,LogReg,19,0.0,0.0,0.0,19,36.93988116597757,28.741231416061055,13172,461863008,689.84375,19,without_lithuania,9,0.8012601449295794,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
uniform,0.25,classification,RandForest,19,0.0,0.0,0.0,19,36.93988116597757,28.741231416061055,13172,461863008,689.84375,19,all_europe,10,0.7003363246234213,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
uniform,0.25,classification,RandForest,19,0.0,0.0,0.0,19,36.93988116597757,28.741231416061055,13172,461863008,689.84375,19,without_lithuania,9,0.7359883305985196,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
uniform,0.25,regression,GradientBoosting,19,0.0,0.0,0.0,19,36.93988116597757,28.741231416061055,13172,461863008,689.84375,19,all_europe,16,0.5273845774828383,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
uniform,0.25,regression,GradientBoosting,19,0.0,0.0,0.0,19,36.93988116597757,28.741231416061055,13172,461863008,689.84375,19,without_lithuania,15,0.5363430956376567,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
uniform,0.25,regression,LightGBM,19,0.0,0.0,0.0,19,36.93988116597757,28.741231416061055,13172,461863008,689.84375,19,all_europe,16,0.5042708346767982,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
uniform,0.25,regression,LightGBM,19,0.0,0.0,0.0,19,36.93988116597757,28.741231416061055,13172,461863008,689.84375,19,without_lithuania,15,0.510646876496353,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
uniform,0.5,classification,LogReg,19,0.0011263900637522,0.0034590296147552,0.0070836052065479,19,28.029430166003294,20.703632583026774,3415,119743560,689.84375,19,all_europe,10,0.8004071554081916,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
uniform,0.5,classification,LogReg,19,0.0011263900637522,0.0034590296147552,0.0070836052065479,19,28.029430166003294,20.703632583026774,3415,119743560,689.84375,19,without_lithuania,9,0.8015195344416814,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
uniform,0.5,classification,RandForest,19,0.0014821225726186,0.0423316944024208,0.0088774840569925,19,28.029430166003294,20.703632583026774,3415,119743560,689.84375,19,all_europe,10,0.7108268923216854,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
uniform,0.5,classification,RandForest,19,0.0014821225726186,0.0423316944024208,0.0088774840569925,19,28.029430166003294,20.703632583026774,3415,119743560,689.84375,19,without_lithuania,9,0.7474772310943925,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
uniform,0.5,regression,GradientBoosting,19,0.0029983447108697,0.1062037889627121,0.0085527842819932,19,28.029430166003294,20.703632583026774,3415,119743560,689.84375,19,all_europe,16,0.4980025844929328,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
uniform,0.5,regression,GradientBoosting,19,0.0029983447108697,0.1062037889627121,0.0085527842819932,19,28.029430166003294,20.703632583026774,3415,119743560,689.84375,19,without_lithuania,15,0.5052623436957696,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
uniform,0.5,regression,LightGBM,19,0.0047070523918848,0.0690340033142236,0.0106756497769138,19,28.029430166003294,20.703632583026774,3415,119743560,689.84375,19,all_europe,16,0.4877478944218367,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
