model,omitted_code,omitted_country,full_correlation,leave_one_out_correlation,change_from_full
LightGBM,hr,Croatia,0.8087134314386129,0.8067034751119223,-0.0020099563266905
LightGBM,bg,Bulgaria,0.8087134314386129,0.7935860968228632,-0.0151273346157496
LightGBM,lv,Latvia,0.8087134314386129,0.8007143289859936,-0.0079991024526192
LightGBM,si,Slovenia,0.8087134314386129,0.7997814516728973,-0.0089319797657155
LightGBM,sk,Slovakia,0.8087134314386129,0.8014283341468895,-0.0072850972917233
LightGBM,de,Germany,0.8087134314386129,0.8037674334560496,-0.0049459979825632
LightGBM,at,Austria,0.8087134314386129,0.8096367531918922,0.0009233217532793
LightGBM,pt,Portugal,0.8087134314386129,0.8240411000004332,0.0153276685618203
LightGBM,fr,France,0.8087134314386129,0.8266913000588596,0.0179778686202467
LightGBM,cz,Czech Republic,0.8087134314386129,0.808642858194797,-7.05732438158746e-05
LightGBM,ro,Romania,0.8087134314386129,0.8110088965493601,0.0022954651107472
LightGBM,es,Spain,0.8087134314386129,0.8089057334036738,0.0001923019650609
